8 JAN 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,-.70,2.70,167 / 168,-.01,.01,.00,,
,,.00,-.70,2.70,168 / 169,-.01,.01,.00,,
,,.00,-.70,2.70,169 / 170,-.01,.01,.00,,
,,.00,-.70,2.70,170 / 171,-.01,.01,.00,,
,,.00,-.70,2.70,171 / 172,-.01,.01,.00,,
,,.00,-.70,2.70,172 / 173,-.01,.01,.00,,
,,.00,-.70,2.70,173 / 174,-.01,.01,.00,,
,,.0004,-2.30,4.20,174 / 175,-.01,.01,.00,,
,,.0005,-3.35,5.20,175 / 176,-.01,.01,.00,,
,,-.0005,-3.20,5.35,176 / 177,-.01,.01,.00,,
,,.00,-3.80,5.80,177 / 178,-.01,.01,.00,,
,,.00,-3.80,5.80,178 / 179,-.01,.01,.00,,
,,-.0004,-2.20,4.30,179 / 180,-.01,.01,.00,,
,,.00,-.70,2.70,180 / 181,-.01,.01,.00,,
,,.00,-.70,2.70,181 / 182,-.01,.01,.00,,
,,.00,-.70,2.70,182 / 183,-.01,.01,.00,,
,,.00,-.70,2.70,183 / 184,-.01,.01,.00,,
,,.00,-.70,2.70,184 / 185,-.01,.01,.00,,
,,.00,-.70,2.70,185 / 186,-.01,.01,.00,,
,,.00,-.70,2.70,186 / 187,-.01,.01,.00,,
,,.00,-.70,2.70,187 / 188,-.01,.01,.00,,
,,.00,-.70,2.70,188 / 189,-.01,.01,.00,,
,,.00,-.70,2.70,189 / 190,-.01,.01,.00,,
,,.0002,-2.25,4.20,190 / 191,-.01,.01,.00,,
,,.0002,-3.80,5.75,191 / 192,-.01,.01,.00,,
,,.00,-3.80,5.80,192 / 193,-.01,.01,.00,,
,,-.0002,-3.75,5.80,193 / 194,-.01,.01,.00,,
,,.0002,-3.80,5.75,194 / 195,-.01,.01,.00,,
,,-.0004,-2.25,4.35,195 / 196,-.01,.01,.00,,
,,.00,-.75,2.75,196 / 197,-.01,.01,.00,,
,,.00,-.70,2.70,197 / 198,-.01,.01,.00,,
,,.00,-.70,2.70,198 / 199,-.01,.01,.00,,
,,-.0004,-.05,2.70,199 / 200,-.01,.01,.00,,
,,.0004,-.70,2.05,200 / 201,-.01,.01,.00,,
,,.00,-.70,2.70,201 / 202,-.01,.01,.00,,
,,.00,-.70,2.70,202 / 203,-.01,.01,.00,,
,,.00,-.70,2.70,203 / 204,-.01,.01,.00,,
,,.00,.30,3.70,204 / 206,-.01,.01,.00,,
,,.00,.30,3.70,206 / 208,0,.02,-.0001,,
,,.00,.30,3.70,208 / 210,-.02,0,.0001,,
,,.00,.30,3.70,210 / 212,-.01,.01,.00,,
,,.00,.30,3.70,212 / 214,-.01,.01,.00,,
,,.00,.30,3.70,214 / 216,-.01,.01,.00,,
,,-.0003,.30,3.75,216 / 218,-.01,.01,.00,,
,,.00,.25,3.75,218 / 220,.01,.03,-.0002,,
,,.00,.25,3.75,220 / 222,-.03,.03,.00,,
,,.00,.25,3.75,222 / 224,-.05,.06,-.0001,,
,,.00,.25,3.75,224 / 226,-.06,.07,-.0001,,
,,.0006,.25,3.65,226 / 228,-.07,.07,.00,,
,,.00,.35,3.65,228 / 230,-.06,.05,.0001,,
,,.00,.35,3.65,230 / 232,-.05,.06,-.0001,,
,,-.0006,.35,3.75,232 / 234,-.07,.07,.00,,
,,.0006,.25,3.65,234 / 236,-.07,.11,-.0002,,
,,.00,.35,3.65,236 / 238,-.11,.09,.0001,,
,,.00,.35,3.65,238 / 240,-.06,.05,.0001,,
,,.00,.35,3.65,240 / 242,-.04,.12,-.0004,,
,,.00,.35,3.65,242 / 244,-.14,.11,.0001,,
,,.00,.35,3.65,244 / 246,-.11,.14,-.0002,,
,,.00,.35,3.65,246 / 248,-.14,.04,.0005,,
,,.00,.35,3.65,248 / 250,-.02,.05,-.0002,,
,,.00,.35,3.65,250 / 252,-.06,.09,-.0002,,
,,.0003,.30,3.65,252 / 254,-.11,.10,.00,,
,,.00,.30,3.70,254 / 256,-.05,.15,-.0005,,
,,.00,.30,3.70,256 / 258,-.16,.11,.0002,,
,,.00,.30,3.70,258 / 260,-.13,.12,.00,,
,,.00,.30,3.70,260 / 262,-.12,.13,-.0001,,
,,.00,.30,3.70,262 / 264,-.16,.17,-.0001,,
,,.00,.30,3.70,264 / 266,-.17,.16,.00,,
,,.00,.30,3.70,266 / 268,-.16,.17,-.0001,,
,,.00,.30,3.70,268 / 270,-.17,.13,.0002,,
,,.00,.30,3.70,270 / 272,-.10,.11,-.0001,,
,,.00,.30,3.70,272 / 274,-.08,.08,.00,,
,,.00,.30,3.70,274 / 276,-.11,.13,-.0001,,
,,.00,.30,3.70,276 / 278,-.16,.18,-.0001,,
,,.00,.30,3.70,278 / 280,-.12,.11,.00,,
,,.00,.30,3.70,280 / 282,-.11,.13,-.0001,,
,,.00,.30,3.70,282 / 284,-.19,.15,.0002,,
,,.00,.30,3.70,284 / 286,-.11,.19,-.0005,,
,,-.0003,.30,3.75,286 / 288,-.19,.12,.0004,,
,,.0006,.25,3.65,288 / 290,-.12,.12,.00,,
,,.00,.35,3.65,290 / 292,-.11,.13,-.0001,,
,,.00,.35,3.65,292 / 294,-.09,.17,-.0005,,
,,.0003,.30,3.65,294 / 296,-.11,.13,-.0001,,
,,.00,.30,3.70,296 / 298,-.15,.12,.0002,,
,,.00,.30,3.70,298 / 300,-.11,.08,.0002,,
,,.00,.30,3.70,300 / 302,-.08,.12,-.0002,,
,,-.0003,.35,3.70,302 / 304,-.19,.16,.0002,,
,,.0003,.30,3.65,304 / 306,-.12,.21,-.0005,,
,,.00,.25,3.75,306 / 308,-.20,.12,.0004,,
,,.00,.25,3.75,308 / 310,-.12,.11,.00,,
,,.00,.30,3.70,310 / 312,-.10,.13,-.0002,,
,,.00,.30,3.70,312 / 314,-.20,.20,.00,,
,,-.0003,.30,3.75,314 / 316,-.20,.21,-.0001,,
,,.0006,.25,3.65,316 / 318,-.15,.19,-.0002,,
,,.0003,.30,3.65,318 / 320,-.12,.12,.00,,
,,.00,.30,3.70,320 / 322,-.15,.12,.0002,,
,,-.0003,.35,3.70,322 / 324,-.17,.19,-.0001,,
,,.0003,.30,3.65,324 / 326,-.15,.12,.0002,,
,,.00,.25,3.75,326 / 328,-.09,.13,-.0003,,
,,-.0012,.45,3.75,328 / 330,-.12,.16,-.0002,,
,,.0013,.30,3.50,330 / 332,-.18,.10,.0005,,
,,.00,.30,3.70,332 / 334,-.14,.21,-.0004,,
,,-.0003,.30,3.75,334 / 336,-.20,.13,.0004,,
,,.0006,.25,3.65,336 / 338,-.12,.13,-.0001,,
,,.0003,.30,3.65,338 / 340,-.07,.13,-.0004,,
,,.00,.25,3.75,340 / 342,-.12,.07,.0003,,
,,.00,.25,3.75,342 / 344,-.11,.21,-.0006,,
,,.00,-.70,2.70,344 / 345,-.21,.21,.00,,
,,.00,-.70,2.70,345 / 346,-.20,.13,.0004,,
,,.00,.30,3.70,346 / 348,-.06,.20,-.0009,,
,,.00,.30,3.70,348 / 350,-.10,.07,.0002,,
,,-.0003,.30,3.75,350 / 352,-.06,.04,.0001,,
,,.0006,.25,3.65,352 / 354,-.07,.08,-.0001,,
,,.0003,-.70,2.65,354 / 355,-.13,.09,.0002,,
,,.00,-.70,2.70,355 / 356,-.14,.14,.00,,
,,.00,.25,3.75,356 / 358,-.14,.15,-.0001,,
,,.00,.25,3.75,358 / 360,-.05,.15,-.0006,,
,,.00,.30,3.70,360 / 362,-.14,.06,.0005,,
,,.0003,.25,3.70,362 / 364,-.14,.13,.00,,
,,.00,-.75,2.75,364 / 365,-.12,.14,-.0001,,
,,.00,-.75,2.75,365 / 366,-.14,.16,-.0001,,
,,.00,.30,3.70,366 / 368,-.15,.16,-.0001,,
,,.0003,.30,3.65,368 / 370,-.04,.16,-.0008,,
