This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 10/5/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
781.53,+6.31,"30,483,341",796.50,806.9699,776.12

8 OCT 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0189,.40,.90,840 / 845,3.15,5.55,-.0189,,
,,.0173,.35,.80,845 / 850,3.25,5.50,-.0184,,
,,.0274,.64,1.04,850 / 860,8.05,10.30,-.0271,,
,,.0204,.40,.76,860 / 870,8.15,10.45,-.0235,,
,,.0178,.37,.64,870 / 880,8.45,10.75,-.0152,,
,,.0129,.22,.47,880 / 890,8.20,11.20,-.0117,,
,,.0092,.11,.35,890 / 900,7.95,11.50,-.0105,,
,,.0076,.08,.30,900 / 910,8.10,11.70,-.0049,,
,,.0057,.03,.25,910 / 920,8.00,11.65,-.0068,,
,,.0044,.01,.20,920 / 930,8.10,11.70,-.0042,,
,,.0036,0,.17,930 / 940,8.10,11.65,-.0048,,
,,.0031,0,.15,940 / 950,8.20,11.75,-.0015,,
,,.0030,0,.15,950 / 960,8.10,11.65,-.0046,,
,,.0014,-.03,.09,960 / 970,8.20,11.70,-.0021,,
,,.0017,-.01,.09,970 / 980,8.20,11.80,-.0004,,
,,.0008,-.02,.05,980 / 990,8.10,11.80,-.0019,,
,,.0012,.02,.04,990 / 1000,8.25,11.80,.0005,,
,,.0015,.01,.07,1000 / 1010,8.10,11.70,-.0035,,
,,.0008,-.02,.06,1010 / 1020,8.10,11.85,-.0010,,
,,.0002,-.03,.04,1020 / 1025,3.15,6.85,-.0001,,
,,.0017,-.04,.14,1025 / 1030,3.15,6.80,-.0009,,
,,-.0002,-.11,.09,1030 / 1040,8.20,11.85,.0007,,
,,.0001,-.05,.05,1040 / 1050,8.10,11.80,-.0018,,
,,.0004,-.03,.05,1050 / 1060,8.10,11.85,-.0010,,
,,-.0001,-.03,.02,1060 / 1070,8.15,11.90,.0009,,
,,-.0004,-.09,.06,1070 / 1075,3.15,6.85,.00,,
,,.00,-.14,.14,1075 / 1080,3.15,6.85,.00,,
,,.0007,-.15,.19,1080 / 1090,8.10,11.85,-.0009,,
,,.0013,-.08,.16,1090 / 1100,8.10,11.85,-.0010,,
,,.0004,-.03,.05,1100 / 1125,23.15,26.85,.00,,
,,.0009,-.02,.07,1125 / 1150,23.15,26.90,.0009,,
,,-.0003,-.05,.03,1150 / 1175,23.10,26.90,-.0001,,
,,.00,-.03,.03,1175 / 1200,23.10,26.85,-.0009,,
,,.00,-.03,.03,1200 / 1225,23.15,26.90,.0008,,
,,.0003,-.02,.04,1225 / 1250,23.10,26.90,.00,,
,,.00,-.03,.03,1250 / 1275,15.60,35.95,.0136,,
,,.00,-.03,.03,1275 / 1300,12.40,36.80,-.0064,,
,,-.0002,-.05,.03,1300 / 1325,20.70,28.55,-.0073,,
,,.0005,-.02,.06,1325 / 1350,21.45,29.30,.0069,,
,,.00,-.02,.02,1350 / 1375,19.05,30.95,-.0002,,
,,.0003,0,.02,1375 / 1400,20.65,28.55,-.0074,,
,,.00,-.01,.01,1400 / 1425,21.45,29.35,.0071,,
,,.00,-.01,.01,1425 / 1450,20.65,28.55,-.0071,,

22 OCT 21  (18)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,47.80,52.20,50 / 100,-.04,.05,-.0001,,
,,.00,47.80,52.20,100 / 150,-.05,.05,.00,,
,,.00,47.80,52.20,150 / 200,-.04,.03,.00,,
,,.0008,47.75,52.10,200 / 250,-.03,.29,-.0012,,
,,.0009,47.75,52.10,250 / 300,-.25,.19,.00,,
,,.0003,7.80,12.15,300 / 310,-.16,.15,.00,,
,,-.0002,7.85,12.20,310 / 320,-.16,.22,-.0004,,
,,.0006,7.80,12.10,320 / 330,-.21,.20,.00,,
,,.0003,7.85,12.10,330 / 340,-.19,.22,-.0002,,
,,.0006,7.80,12.10,340 / 350,-.19,.27,-.0005,,
,,.0004,7.80,12.15,350 / 360,-.27,.25,.00,,
,,.0006,7.80,12.10,360 / 370,-.23,.30,-.0005,,
,,.0004,7.85,12.10,370 / 380,-.22,.30,-.0005,,
,,.0007,7.85,12.05,380 / 390,-.22,.30,-.0006,,
,,.0007,7.85,12.05,390 / 400,-.13,.36,-.0014,,
,,.0010,7.80,12.05,400 / 410,-.25,.24,-.0001,,
,,.0010,7.80,12.05,410 / 420,-.20,.33,-.0009,,
,,.0010,7.80,12.05,420 / 430,-.19,.37,-.0012,,
,,.0011,7.80,12.05,430 / 440,-.21,.35,-.0010,,
,,.0016,7.75,12.00,440 / 450,-.15,.39,-.0016,,
,,.0014,7.75,12.05,450 / 460,-.18,.35,-.0013,,
,,.0017,7.70,12.05,460 / 470,-.14,.39,-.0018,,
,,.0021,7.65,12.05,470 / 480,-.13,.41,-.0020,,
,,.0021,7.65,12.05,480 / 490,-.11,.42,-.0022,,
,,.0025,7.60,12.05,490 / 500,-.09,.43,-.0024,,
,,.0028,7.55,12.05,500 / 510,-.07,.46,-.0028,,
,,.0029,7.55,12.05,510 / 520,-.05,.48,-.0031,,
,,.0035,7.50,12.00,520 / 530,-.18,.54,-.0028,,
,,.0039,7.50,11.95,530 / 540,-.09,.72,-.0043,,
,,.0041,7.50,11.95,540 / 550,-.07,.65,-.0042,,
,,.0024,2.55,7.10,550 / 555,-.20,.52,-.0023,,
,,.0025,2.60,7.05,555 / 560,-.19,.54,-.0025,,
,,.0023,2.65,7.05,560 / 565,-.15,.53,-.0027,,
,,.0031,2.55,7.00,565 / 570,-.20,.50,-.0024,,
,,.0027,2.60,7.05,570 / 575,-.20,.55,-.0027,,
,,.0029,2.55,7.05,575 / 580,-.15,.60,-.0032,,
,,.0030,2.55,7.05,580 / 585,-.30,.60,-.0026,,
,,.0035,2.50,7.00,585 / 590,-.25,.70,-.0033,,
,,.0032,2.55,7.05,590 / 595,-.05,.70,-.0043,,
,,.0037,2.50,7.00,595 / 600,-.15,.75,-.0041,,
,,.0042,2.50,6.90,600 / 605,-.20,.65,-.0036,,
,,.0039,2.55,6.95,605 / 610,0,.55,-.0041,,
,,.0042,2.50,6.95,610 / 615,-.30,.70,-.0035,,
,,.0045,2.50,6.90,615 / 620,-.10,.85,-.0052,,
,,.0046,2.50,6.90,620 / 625,.05,.60,-.0048,,
,,.0049,2.50,6.85,625 / 630,.05,.60,-.0050,,
,,.0051,2.50,6.85,630 / 635,.05,.60,-.0051,,
,,.0048,2.70,6.75,635 / 640,.05,.65,-.0054,,
,,.0066,2.55,6.50,640 / 645,-.20,.70,-.0048,,
,,.0061,2.50,6.70,645 / 650,-.05,.95,-.0066,,
,,.0055,2.75,6.65,650 / 655,-.20,.85,-.0057,,
,,.0069,2.70,6.40,655 / 660,0,1.05,-.0075,,
,,.0063,2.85,6.45,660 / 665,.05,.85,-.0071,,
,,.0079,2.65,6.30,665 / 670,-.20,.85,-.0064,,
,,.0073,2.70,6.45,670 / 675,.10,1.05,-.0085,,
,,.0083,2.70,6.25,675 / 680,.20,.90,-.0085,,
,,.0095,2.45,6.25,680 / 685,.10,.95,-.0086,,
,,.0085,2.60,6.45,685 / 690,.05,1.00,-.0089,,
,,.0090,2.75,6.25,690 / 695,.10,1.25,-.0102,,
,,.0104,2.65,6.05,695 / 700,-.15,1.25,-.0097,,
,,.0117,2.35,6.05,700 / 705,.10,1.40,-.0114,,
,,.0104,2.55,6.40,705 / 710,-.20,1.30,-.0106,,
,,.0122,2.45,6.05,710 / 715,-.20,1.65,-.0121,,
,,.0140,2.25,5.75,715 / 720,.10,1.70,-.0135,,
,,.0125,2.65,6.10,720 / 725,.10,1.50,-.0135,,
,,.0143,2.40,5.90,725 / 730,.15,1.65,-.0145,,
,,.0154,2.55,5.55,730 / 735,.20,1.75,-.0155,,
,,.0168,2.60,5.15,735 / 740,.30,1.75,-.0163,,
,,.0173,2.55,5.25,740 / 745,.40,1.80,-.0173,,
,,.0183,2.50,5.15,745 / 750,.50,1.90,-.0184,,
,,.0194,2.40,5.05,750 / 755,.20,2.00,-.0189,,
,,.0206,2.25,4.90,755 / 760,.25,2.55,-.0206,,
,,.0216,2.30,4.70,760 / 765,.35,2.75,-.0218,,
,,.0227,2.25,4.40,765 / 770,.65,2.90,-.0229,,
,,.0237,2.05,4.05,770 / 775,.80,2.90,-.0237,,
,,.0244,1.95,4.15,775 / 780,.75,3.15,-.0245,,
,,.0252,1.70,4.10,780 / 785,.80,3.45,-.0253,,
,,.0256,1.50,3.75,785 / 790,1.00,3.65,-.0258,,
,,.0261,1.50,3.65,790 / 795,1.10,3.85,-.0261,,
,,.0264,1.45,3.40,795 / 800,1.25,4.00,-.0264,,
,,.0259,1.15,3.10,800 / 805,1.40,4.15,-.0265,,
,,.0274,1.50,3.10,805 / 810,1.55,4.35,-.0262,,
,,.0256,1.30,2.40,810 / 815,1.70,4.75,-.0251,,
,,.0239,.80,2.30,815 / 820,1.65,4.90,-.0251,,
,,.0258,.95,2.55,820 / 825,1.75,5.05,-.0245,,
,,.0235,.85,2.00,825 / 830,1.85,5.20,-.0239,,
,,.0223,.75,1.80,830 / 835,1.75,5.55,-.0231,,
,,.0215,.70,1.65,835 / 840,2.00,5.85,-.0203,,
,,.0202,.65,1.45,840 / 845,2.35,5.40,-.0211,,
,,.0174,.50,1.15,845 / 850,2.50,5.75,-.0181,,
,,.0181,.60,1.15,850 / 855,2.30,6.10,-.0171,,
,,.0156,.40,1.00,855 / 860,2.25,6.15,-.0172,,
,,.0276,.90,1.45,860 / 870,7.10,10.85,-.0252,,
,,.0231,.65,1.20,870 / 880,7.25,10.85,-.0235,,
,,.0167,.25,.95,880 / 890,7.40,11.05,-.0201,,
,,.0140,.13,.85,890 / 900,7.65,11.25,-.0153,,
,,.0147,.23,.85,900 / 910,7.80,11.50,-.0107,,
,,.0081,-.09,.59,910 / 920,7.75,11.55,-.0103,,
,,.0097,.01,.66,920 / 930,7.85,11.55,-.0090,,
,,.0045,-.21,.45,930 / 940,7.80,11.70,-.0076,,
,,.0062,-.15,.56,940 / 950,7.75,11.95,-.0050,,
,,.0039,-.15,.38,950 / 960,7.80,11.95,-.0042,,
,,.0028,-.11,.26,960 / 970,8.05,11.90,-.0015,,
,,.0036,-.06,.29,970 / 980,7.90,11.85,-.0039,,
,,.0021,-.12,.24,980 / 990,7.85,12.05,-.0019,,
,,.0014,-.11,.18,990 / 1000,8.05,12.00,.0001,,
,,.0026,-.06,.23,1000 / 1010,7.85,11.85,-.0042,,
,,.0023,-.11,.26,1010 / 1020,8.00,11.95,-.0010,,
,,.0009,-.18,.24,1020 / 1025,3.00,6.90,-.0015,,
,,.0002,-.19,.19,1025 / 1030,2.90,7.10,-.0002,,
,,.0009,-.12,.17,1030 / 1040,7.85,12.10,-.0009,,
,,.0014,-.09,.18,1040 / 1050,7.85,12.00,-.0022,,
,,.0012,-.11,.19,1050 / 1060,7.90,12.05,-.0008,,
,,.0010,-.13,.19,1060 / 1070,7.90,12.10,-.0002,,
,,.0005,-.14,.17,1070 / 1075,2.85,7.10,-.0007,,
,,.0005,-.14,.17,1075 / 1080,2.80,7.10,-.0014,,
,,.0003,-.17,.18,1080 / 1090,7.90,12.15,.0006,,
,,.0011,-.13,.21,1090 / 1100,7.85,12.05,-.0015,,
,,.0013,-.11,.19,1100 / 1125,22.80,27.10,-.0016,,
