This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 8/3/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
709.67,+22.47,"33,615,765",700.00,726.94,698.40

6 AUG 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0104,.22,.54,840 / 850,8.65,10.60,-.0105,,
,,.0085,.18,.42,850 / 860,8.70,10.65,-.0092,,
,,.0075,.16,.37,860 / 870,8.80,10.70,-.0074,,
,,.0061,.10,.32,870 / 880,8.80,10.75,-.0066,,
,,.0060,.09,.34,880 / 890,8.60,11.05,-.0053,,
,,.0041,.03,.24,890 / 900,8.40,11.30,-.0046,,
,,.0037,.05,.20,900 / 910,8.40,11.35,-.0039,,
,,.0040,.04,.24,910 / 920,8.40,11.40,-.0032,,
,,.0025,-.01,.17,920 / 930,8.45,11.40,-.0024,,
,,.0023,.01,.14,930 / 940,8.50,11.40,-.0017,,
,,.0019,-.03,.15,940 / 950,8.45,11.40,-.0023,,
,,.0023,0,.16,950 / 960,8.45,11.45,-.0016,,
,,.0011,-.05,.11,960 / 970,8.55,11.45,-.0003,,
,,.0022,0,.16,970 / 980,8.50,11.35,-.0022,,
,,.0012,-.01,.09,980 / 990,8.35,11.40,-.0038,,
,,.0016,.01,.10,990 / 1000,8.50,11.60,.0014,,
,,.0018,.03,.08,1000 / 1025,23.40,26.45,-.0024,,
,,.0028,.03,.17,1025 / 1050,23.45,26.50,-.0009,,
,,.0009,-.07,.12,1050 / 1075,23.50,26.45,-.0009,,
,,.0009,-.03,.09,1075 / 1100,23.45,26.45,-.0017,,
,,.0008,-.04,.09,1100 / 1125,23.50,26.50,.00,,
,,.0003,-.03,.05,1125 / 1150,23.50,26.45,.00,,
,,.0003,-.01,.03,1150 / 1175,23.45,26.50,.00,,
,,.0012,.02,.07,1175 / 1200,23.45,26.55,.00,,
,,.0002,-.01,.02,1200 / 1225,23.45,26.55,.00,,
,,.0004,0,.03,1225 / 1250,23.35,26.55,.00,,
,,.0002,-.01,.02,1250 / 1275,23.35,26.65,.00,,
,,.00,-.02,.02,1275 / 1300,19.10,31.15,.0006,,
,,.00,-.02,.02,1300 / 1325,19.00,30.90,-.0006,,
,,.00,-.01,.01,1325 / 1350,23.50,26.50,.00,,
,,.00,-.01,.01,1350 / 1375,19.10,31.00,.0006,,

27 AUG 21  (25)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0007,97.60,102.35,100 / 200,-.05,.05,-.0001,,
,,.0022,97.50,102.20,200 / 300,-.02,.10,-.0007,,
,,.0057,97.35,102.00,300 / 400,.17,.47,-.0054,,
,,.0007,7.70,12.25,400 / 410,-.17,.18,-.0003,,
,,.0010,7.70,12.20,410 / 420,-.07,.18,-.0010,,
,,.0014,7.65,12.20,420 / 430,-.08,.32,-.0020,,
,,-.0004,7.95,12.20,430 / 440,-.21,.34,-.0013,,
,,.0031,7.70,11.90,440 / 450,-.20,.36,-.0015,,
,,.0019,7.65,12.15,450 / 460,-.07,.36,-.0025,,
,,.0020,7.65,12.15,460 / 470,-.18,.25,-.0011,,
,,.0021,7.65,12.15,470 / 480,-.15,.39,-.0024,,
,,.0029,7.60,12.10,480 / 490,-.14,.38,-.0025,,
,,.0031,7.60,12.10,490 / 500,-.12,.40,-.0029,,
,,.0032,7.60,12.10,500 / 510,-.11,.43,-.0034,,
,,.0041,7.55,12.05,510 / 520,-.09,.47,-.0040,,
,,.0047,7.50,12.05,520 / 530,-.06,.50,-.0046,,
,,.0056,7.45,12.00,530 / 540,-.05,.62,-.0058,,
,,.0063,7.45,11.95,540 / 550,-.03,.63,-.0063,,
,,.0076,7.35,11.90,550 / 560,.12,.68,-.0080,,
,,.0090,7.25,11.85,560 / 570,.13,.72,-.0088,,
,,.0053,2.45,7.00,570 / 575,.10,.70,-.0069,,
,,.0054,2.45,7.00,575 / 580,-.15,.60,-.0049,,
,,.0062,2.40,6.95,580 / 585,-.15,.70,-.0057,,
,,.0067,2.40,6.90,585 / 590,-.05,.70,-.0064,,
,,.0074,2.35,6.85,590 / 595,0,.75,-.0072,,
,,.0081,2.30,6.80,595 / 600,.05,.85,-.0082,,
,,.0089,2.25,6.75,600 / 605,.05,.85,-.0084,,
,,.0088,2.30,6.75,605 / 610,.10,.90,-.0092,,
,,.0106,2.15,6.60,610 / 615,.20,1.20,-.0114,,
,,.0110,2.10,6.60,615 / 620,0,1.05,-.0099,,
,,.0115,2.15,6.50,620 / 625,.25,1.10,-.0116,,
,,.0130,2.00,6.35,625 / 630,.35,1.20,-.0128,,
,,.0133,2.00,6.35,630 / 635,.35,1.30,-.0134,,
,,.0147,1.85,6.20,635 / 640,.40,1.70,-.0155,,
,,.0153,1.75,6.20,640 / 645,.20,1.55,-.0144,,
,,.0161,1.70,6.10,645 / 650,.50,1.65,-.0162,,
,,.0168,1.65,6.00,650 / 655,.55,1.75,-.0169,,
,,.0178,1.55,5.85,655 / 660,.70,1.90,-.0181,,
,,.0185,1.50,5.75,660 / 665,.75,2.00,-.0188,,
