Event,Category,Name,Gender,Weight,Age,Country,Record,Season,Source
2000,75-79,Roger Bangay,M,Lwt,75,GBR,07:24.1,2012,Race result
2000,75-79,Mies Bernelot Moens,F,Hwt,75,NED,08:15.5,2021,Race result
2000,75-79,Luanne Mills,F,Lwt,75,USA,08:34.7,2014,Race result
2000,80-84,Paul Guest,M,Hwt,80,AUS,07:26.6,2019,Race result
2000,80-84,Geoffrey Knight,M,Lwt,80,GBR,07:40.4,2015,Race result
2000,80-84,Luanne Mills,F,Hwt,80,USA,08:47.5,2019,Race result
2000,80-84,Anne Cresswell,F,Lwt,80,AUS,09:07.4,2019,Race result
2000,85-89,Mike Hurley,M,Hwt,85,GBR,07:54.2,2021,Race result
2000,85-89,Robert Spenger,M,Lwt,85,USA,08:13.6,2010,CRASH-B 2010
2000,85-89,Alida Kingswood,F,Hwt,89,CAN,10:11.8,2021,Race result
2000,85-89,MaryEllen Moore,F,Lwt,85,USA,10:23.6,2018,Race result
2000,90-94,Robert Spenger,M,Hwt,90,USA,08:42.4,2015,Race result
2000,90-94,Robert Spenger,M,Lwt,90,USA,08:44.9,2015,Race result
2000,90-94,Ernestine Bayer,F,Lwt,91,USA,12:07.5,2000,Race result
2000,90-94,Valerie Coleman,F,Hwt,91,GBR,13:05.0,2021,Race result
2000,95-99,John Hodgson,M,Lwt,96,GBR,10:28.2,2006,Race result
2000,95-99,Vince Home,M,Hwt,95,AUS,10:49.7,2021,Race result
2000,95-99,Dorothy (Dottie) Stewart,F,Lwt,96,USA,14:23.1,2018,Race result
2000,100+,John Hodgson,M,Lwt,100,GBR,13:32.6,2011,Race result
21097,12 and Under,Elijah Harrison,M,,12,USA,34:07.0,2021,PM Verification Code
21097,12 and Under,Teagan Farley,F,,12,USA,38:13.2,2021,PM Verification Code
21097,13-14,Isaiah Harrison,M,,14,USA,18:38.1,2018,PM Verification Code
21097,13-14,Lily Jedlic,F,,14,CAN,32:04.6,2019,PM Verification Code
21097,15-16,Isaiah Harrison,M,,16,USA,13:34.8,2020,PM Verification Code
21097,15-16,Sadie McGirr,F,,16,USA,27:28.9,2014,Witnessed at public club
21097,17-18,Thomas Digby,M,Hwt,18,GBR,10:52.5,2017,PM Verification Code
21097,17-18,Drake Deuel,M,Lwt,18,USA,14:28.3,2017,PM Verification Code
21097,17-18,Gabrielle Graves,F,Hwt,18,USA,23:05.1,2021,PM Verification Code
21097,17-18,Brigid Kennedy,F,Lwt,17,USA,27:31.3,2017,PM Verification Code
21097,19-29,Barnabe Delarze,M,Hwt,25,SUI,08:59.0,2020,PM Verification Code
21097,19-29,Maxwell Lattimer,M,Lwt,27,CAN,12:06.9,2021,PM Verification Code
21097,19-29,Kaifeng Huang,F,Hwt,22,CHN,18:03.4,2021,PM Verification Code
21097,19-29,Sofia Meakin,F,Lwt,22,SUI,22:36.6,2020,PM Verification Code
21097,30-39,Conlin McCabe,M,Hwt,30,CAN,07:22.7,2021,PM Verification Code
21097,30-39,Jesper Jensen,M,Lwt,34,DEN,13:12.9,2017,PM Verification Code
21097,30-39,Emma Twigg,F,Hwt,33,NZL,17:42.2,2021,PM Verification Code
21097,30-39,Anna Lewis,F,Lwt,37,GBR,22:50.2,2016,PM Verification Code
21097,40-49,Luke Wollenschlaeger,M,Hwt,47,RSA,11:04.2,2021,PM Verification Code
21097,40-49,Tim Male,M,Lwt,41,GBR,13:16.6,2017,PM Verification Code
21097,40-49,Margit Haahr Hansen,F,Hwt,49,DEN,22:41.0,2016,PM Verification Code
21097,40-49,Anna Hughes-Davies,F,Lwt,42,GBR,24:05.9,2021,PM Verification Code
21097,50-59,Andrew Benko,M,Hwt,50,USA,12:09.7,2018,PM Verification Code
21097,50-59,Max Chickering,M,Lwt,50,USA,15:02.5,2020,PM Verification Code
21097,50-59,Margit Haahr Hansen,F,Hwt,52,DEN,23:38.3,2019,PM Verification Code
21097,50-59,Justine Reston,F,Lwt,50,GBR,26:08.7,2021,PM Verification Code
21097,60-69,James Crawford,M,Hwt,60,USA,15:56.9,2015,PM Verification Code
21097,60-69,Steve Roedde,M,Lwt,60,CAN,18:42.0,2014,PM Verification Code
21097,60-69,Ann Wopat,F,Hwt,65,USA,28:02.8,2019,PM Verification Code
21097,60-69,Joan Van Blom,F,Lwt,60,USA,29:02.7,2013,PM Verification Code
21097,70-79,TJ Oesterling,M,Hwt,70,USA,20:20.9,2019,PM Verification Code
21097,70-79,Raimund Haberl,M,Lwt,70,AUT,21:05.1,2020,PM Verification Code
