This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 7/7/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
659.58,-19.32,"23,284,450",681.7115,684.00,651.4002

9 JUL 21  (3)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,-.0001,-.50,2.35,386 / 387,-.15,.26,-.0007,,
,,-.0003,-.45,2.45,387 / 388,-.24,.29,-.0003,,
,,-.0003,-.40,2.45,388 / 389,-.36,.39,-.0002,,
,,-.0003,-.40,2.40,389 / 390,-.36,.26,.0005,,
,,-.0001,-.50,2.35,390 / 391,-.24,.26,-.0002,,
,,-.0003,-.45,2.45,391 / 392,-.13,.28,-.0009,,
,,-.0003,-.40,2.45,392 / 393,-.25,.16,.0004,,
,,-.0002,-.45,2.40,393 / 394,-.24,.39,-.0009,,
,,-.0002,-.50,2.40,394 / 395,-.36,.28,.0004,,
,,-.0002,-.50,2.45,395 / 396,-.25,.26,-.0001,,
,,-.0004,-.40,2.50,396 / 397,-.23,.28,-.0004,,
,,-.0001,-.50,2.40,397 / 398,-.25,.26,-.0001,,
,,-.0001,-.55,2.45,398 / 399,-.24,.39,-.0009,,
,,-.0003,-.45,2.50,399 / 400,-.18,.25,-.0005,,
,,-.0011,3.45,6.40,400 / 405,-.05,.16,-.0010,,
,,-.0010,3.40,6.40,405 / 410,-.14,.24,-.0010,,
,,-.0010,3.40,6.45,410 / 415,-.15,.29,-.0012,,
,,-.0010,3.45,6.45,415 / 420,-.14,.36,-.0017,,
,,-.0008,3.40,6.35,420 / 425,-.19,.41,-.0017,,
,,-.0008,3.40,6.40,425 / 430,-.23,.41,-.0016,,
,,-.0008,3.40,6.45,430 / 435,-.23,.42,-.0017,,
,,-.0007,3.35,6.45,435 / 440,-.24,.31,-.0010,,
,,-.0005,3.30,6.45,440 / 445,-.12,.43,-.0024,,
,,-.0005,3.30,6.45,445 / 450,-.05,.37,-.0025,,
