This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 9/8/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
752.92,+19.35,"20,039,825",740.00,760.20,739.26

10 SEP 21  (3)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,.40,3.60,248 / 250,-.04,.04,.00,,
,,.00,.40,3.60,250 / 252,-.04,.04,.00,,
,,.00,2.40,5.60,252 / 256,-.06,.06,.00,,
,,.00,2.40,5.60,256 / 260,-.06,.04,.0001,,
,,.00,8.40,11.60,260 / 270,-.04,.05,-.0001,,
,,.00,8.40,11.60,270 / 280,-.03,.05,-.0001,,
,,.00,8.40,11.60,280 / 290,-.02,.03,-.0001,,
,,.00,8.40,11.60,290 / 300,-.03,.02,.00,,
,,.00,2.40,5.60,300 / 304,-.04,.03,.0001,,
,,.00,.40,3.60,304 / 306,-.04,.07,-.0002,,
,,.00,.40,3.60,306 / 308,-.07,.07,.00,,
,,.00,.40,3.60,308 / 310,-.07,.07,.00,,
,,.00,.40,3.60,310 / 312,-.07,.07,.00,,
,,.00,.40,3.60,312 / 314,-.07,.07,.00,,
,,.00,.40,3.60,314 / 316,-.07,.05,.0001,,
,,.00,.40,3.60,316 / 318,-.05,.05,.00,,
,,.00,.40,3.60,318 / 320,-.05,.05,.00,,
,,.00,.40,3.60,320 / 322,-.05,.05,.00,,
,,.00,.40,3.60,322 / 324,-.05,.08,-.0002,,
,,.00,.40,3.60,324 / 326,-.08,.07,.0001,,
,,.00,.40,3.60,326 / 328,-.06,.05,.0001,,
,,.00,.40,3.60,328 / 330,-.04,.05,-.0001,,
,,.00,.40,3.60,330 / 332,-.05,.04,.0001,,
,,.00,.40,3.60,332 / 334,-.04,.08,-.0003,,
,,.00,.40,3.60,334 / 336,-.08,.08,.00,,
,,.00,.40,3.60,336 / 338,-.07,.08,-.0001,,
,,.00,.40,3.60,338 / 340,-.09,.07,.0001,,
,,.00,.40,3.60,340 / 342,-.09,.09,.00,,
,,.00,.35,3.60,342 / 344,-.08,.09,-.0001,,
,,.00,.35,3.65,344 / 346,-.08,.09,-.0001,,
,,.00,.35,3.65,346 / 348,-.08,.09,-.0001,,
,,.00,.35,3.65,348 / 350,-.06,.05,.0001,,
,,.00,.35,3.60,350 / 352,-.05,.06,-.0001,,
,,.00,.40,3.60,352 / 354,-.08,.09,-.0001,,
,,.00,.40,3.60,354 / 356,-.09,.09,.00,,
,,.00,.40,3.60,356 / 358,-.08,.09,-.0001,,
,,.00,.40,3.60,358 / 360,-.04,.08,-.0003,,
,,.00,.40,3.60,360 / 362,-.08,.05,.0002,,
,,.00,.40,3.60,362 / 364,-.09,.08,.0001,,
,,.00,.40,3.60,364 / 366,-.07,.09,-.0002,,
,,.00,.40,3.60,366 / 368,-.08,.08,.00,,
,,.00,.40,3.60,368 / 370,-.08,.05,.0002,,
,,.00,.40,3.60,370 / 372,-.04,.09,-.0004,,
,,.00,.40,3.60,372 / 374,-.08,.08,.00,,
,,.0011,.40,3.45,374 / 376,-.08,.09,-.0001,,
,,-.0011,2.55,5.60,376 / 380,-.08,.08,.00,,
,,.0001,2.35,5.60,380 / 384,-.06,.09,-.0002,,
,,.0005,2.35,5.60,384 / 388,-.07,.09,-.0002,,
,,.00,2.40,5.60,388 / 392,-.08,.09,-.0001,,
,,.0005,2.35,5.60,392 / 396,-.08,.10,-.0002,,
,,.0004,2.35,5.60,396 / 400,-.04,.08,-.0003,,
,,.0001,8.40,11.60,400 / 410,-.04,.03,.00,,
,,.0009,8.35,11.55,410 / 420,.02,.11,-.0011,,
,,.0001,8.40,11.60,420 / 430,-.05,.08,-.0004,,
,,.0009,8.35,11.55,430 / 440,-.04,.12,-.0007,,
,,.0009,8.35,11.55,440 / 450,0,.12,-.0011,,
,,.0010,8.35,11.55,450 / 460,-.02,.08,-.0007,,
,,.0010,8.35,11.55,460 / 470,0,.13,-.0012,,
,,.0014,8.35,11.50,470 / 480,-.02,.13,-.0011,,
,,.0015,8.35,11.50,480 / 490,-.01,.15,-.0014,,
,,.0027,8.30,11.40,490 / 500,0,.16,-.0016,,
,,.0009,8.45,11.50,500 / 510,.02,.17,-.0019,,
,,.0021,8.35,11.45,510 / 520,.03,.17,-.0021,,
,,.0026,8.30,11.45,520 / 530,.05,.18,-.0024,,
,,.0023,8.30,11.50,530 / 540,.04,.18,-.0025,,
,,.0032,8.25,11.45,540 / 550,.06,.21,-.0030,,
,,.0030,8.30,11.45,550 / 560,.04,.22,-.0031,,
,,.0040,8.25,11.40,560 / 570,.04,.25,-.0035,,
,,.0046,8.25,11.35,570 / 580,.06,.26,-.0040,,
,,.0034,8.35,11.45,580 / 590,.07,.25,-.0043,,
,,.0056,8.25,11.30,590 / 600,.11,.22,-.0047,,
,,.0020,3.40,6.50,600 / 605,.05,.19,-.0031,,
,,.0021,3.30,6.60,605 / 610,-.02,.15,-.0023,,
,,.0030,3.25,6.55,610 / 615,.04,.20,-.0033,,
,,.0035,3.20,6.55,615 / 620,.01,.19,-.0031,,
,,.0033,3.20,6.60,620 / 625,-.01,.16,-.0029,,
,,.0038,3.45,6.30,625 / 630,.04,.16,-.0034,,
,,.0036,3.75,6.05,630 / 635,.08,.17,-.0040,,
,,.0042,3.70,6.05,635 / 640,.04,.17,-.0039,,
,,.0044,3.70,6.05,640 / 645,.06,.18,-.0043,,
,,.0050,3.70,6.00,645 / 650,.07,.19,-.0047,,
,,.0045,3.75,6.05,650 / 655,.05,.17,-.0047,,
,,.0056,3.70,6.00,655 / 660,.05,.20,-.0052,,
,,.0060,3.70,6.00,660 / 665,.05,.25,-.0060,,
,,.0068,3.70,5.95,665 / 670,.05,.25,-.0063,,
