This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 5/4/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
684.90,-24.54,"27,043,143",703.80,706.00,680.50

7 MAY 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0138,.45,1.00,717.5 / 720,-3.10,4.70,-.0237,,
,,.0126,-.20,1.40,720 / 722.5,-1.30,6.90,-.0035,,
,,.0131,-.60,1.90,722.5 / 725,-3.40,7.05,-.0134,,
,,.0108,-.55,1.45,725 / 727.5,-3.50,7.30,-.0126,,
,,.0116,-.15,1.20,727.5 / 730,-3.65,7.50,-.0123,,
,,.0134,.05,1.30,730 / 732.5,-3.80,7.65,-.0123,,
,,.0126,-.20,1.40,732.5 / 735,-3.90,7.85,-.0117,,
,,.0102,-.35,1.20,735 / 737.5,-4.00,8.05,-.0110,,
,,.0113,-.25,1.25,737.5 / 740,-4.15,7.90,-.0132,,
,,.0098,-.35,1.15,740 / 742.5,-3.95,8.40,-.0080,,
,,.0129,.15,1.05,742.5 / 745,-4.40,8.55,-.0102,,
,,.0099,.15,.65,745 / 747.5,-4.50,8.70,-.0099,,
,,.0094,.15,.60,747.5 / 750,-4.55,8.90,-.0086,,
,,.0086,.10,.55,750 / 752.5,-4.70,9.00,-.0090,,
,,.0090,.15,.55,752.5 / 755,-4.80,9.15,-.0085,,
,,.0157,.40,.75,755 / 760,-2.75,11.60,-.0156,,
,,.0142,.30,.70,760 / 765,-2.90,11.90,-.0141,,
,,.0131,.25,.65,765 / 770,-3.00,12.10,-.0130,,
,,.0130,.25,.65,770 / 775,-3.10,12.30,-.0119,,
,,.0073,-.13,.53,775 / 780,-3.20,12.55,-.0101,,
,,.0073,-.26,.68,780 / 785,-3.30,12.70,-.0094,,
,,.0080,-.22,.72,785 / 790,-3.35,12.85,-.0081,,
,,.0073,-.23,.68,790 / 795,-3.40,13.00,-.0068,,
,,.0093,.05,.56,795 / 800,-3.45,13.10,-.0060,,
,,.0024,-.19,.27,800 / 805,-3.55,12.25,-.0196,,
,,.0048,-.25,.52,805 / 810,-2.65,13.30,.0084,,
,,.0047,-.24,.51,810 / 815,-3.15,13.35,.0015,,
,,.0037,-.27,.47,815 / 820,-3.65,12.95,-.0104,,
,,.0064,-.17,.52,820 / 830,4.05,18.35,.0262,,
,,.0051,-.19,.46,830 / 840,1.30,15.60,-.0390,,
,,.0062,-.02,.38,840 / 850,1.30,18.45,-.0047,,
,,.0033,-.01,.18,850 / 860,1.30,18.55,-.0030,,
,,.0011,-.14,.17,860 / 870,4.20,18.65,.0327,,
,,.0037,-.04,.25,870 / 880,3.35,13.70,-.0353,,
,,-.0006,-.20,.13,880 / 890,3.25,16.50,-.0044,,
,,.0033,-.05,.25,890 / 900,1.25,18.65,-.0020,,
,,.0011,-.03,.08,900 / 910,1.30,18.70,-.0002,,
,,-.0006,-.15,.09,910 / 920,1.25,18.65,-.0019,,
,,.0010,-.17,.22,920 / 930,1.25,18.75,-.0001,,
,,.0004,-.20,.21,930 / 940,1.20,18.75,-.0010,,
,,.0023,-.08,.23,940 / 950,1.25,18.70,-.0010,,
