This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 2/2/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
839.81,+46.28,"25,391,385",814.29,842.00,795.5601

5 FEB 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0199,2.70,3.90,795 / 800,1.10,1.80,-.0189,,
,,.0191,2.90,4.15,800 / 805,1.35,2.10,-.0202,,
,,.0205,2.40,4.05,805 / 810,1.25,2.20,-.0204,,
,,.0209,2.30,4.00,810 / 815,1.40,2.35,-.0210,,
,,.0214,2.20,3.85,815 / 820,1.50,2.45,-.0215,,
,,.0217,2.15,3.70,820 / 825,1.60,2.60,-.0218,,
,,.0110,.60,2.15,825 / 827.5,.60,1.60,-.0110,,
,,.0110,.60,2.20,827.5 / 830,.60,1.65,-.0111,,
,,.0111,.70,2.10,830 / 832.5,.60,1.70,-.0112,,
,,.0112,.70,1.90,832.5 / 835,.65,1.75,-.0112,,
,,.0112,.65,1.90,835 / 837.5,.65,1.75,-.0112,,
,,.0112,.60,1.90,837.5 / 840,.70,1.85,-.0112,,
,,.0112,.60,1.85,840 / 842.5,.70,1.85,-.0112,,
,,.0112,.55,1.80,842.5 / 845,.80,1.90,-.0112,,
,,.0112,.55,1.80,845 / 847.5,.75,1.90,-.0112,,
,,.0111,.50,1.70,847.5 / 850,.75,2.00,-.0112,,
,,.0111,.50,1.70,850 / 852.5,.75,2.05,-.0112,,
,,.0110,.45,1.65,852.5 / 855,.80,2.10,-.0111,,
,,.0110,.45,1.60,855 / 857.5,.85,2.10,-.0110,,
,,.0109,.45,1.55,857.5 / 860,.85,2.10,-.0110,,
,,.0109,.45,1.55,860 / 862.5,.90,2.20,-.0108,,
,,.0107,.40,1.45,862.5 / 865,.90,2.20,-.0108,,
,,.0106,.40,1.40,865 / 867.5,.95,2.25,-.0106,,
,,.0105,.40,1.35,867.5 / 870,.95,2.25,-.0106,,
,,.0105,.40,1.35,870 / 872.5,1.00,2.30,-.0104,,
,,.0102,.30,1.35,872.5 / 875,1.00,2.35,-.0103,,
,,.0101,.25,1.35,875 / 877.5,1.00,2.40,-.0101,,
,,.0098,.25,1.25,877.5 / 880,1.00,2.40,-.0101,,
,,.0100,.30,1.25,880 / 882.5,1.05,2.45,-.0098,,
,,.0098,.25,1.25,882.5 / 885,1.10,2.50,-.0095,,
,,.0093,.20,1.15,885 / 887.5,1.10,2.50,-.0095,,
,,.0095,.25,1.15,887.5 / 890,1.10,2.50,-.0095,,
,,.0091,.20,1.10,890 / 892.5,1.15,2.55,-.0092,,
,,.0088,.15,1.05,892.5 / 895,1.20,2.60,-.0088,,
,,.0089,.20,1.05,895 / 897.5,1.20,2.60,-.0088,,
,,.0087,.25,.95,897.5 / 900,1.20,2.60,-.0088,,
,,.0081,.20,.85,900 / 902.5,1.25,2.65,-.0083,,
,,.0081,.15,.90,902.5 / 905,1.25,2.65,-.0083,,
,,.0081,.10,.95,905 / 907.5,1.15,2.70,-.0085,,
,,.0078,.05,.95,907.5 / 910,1.25,2.85,-.0074,,
,,.0152,.50,1.40,910 / 915,3.30,4.80,-.0152,,
,,.0144,.45,1.30,915 / 920,3.40,4.90,-.0142,,
,,.0135,.40,1.20,920 / 925,3.45,4.95,-.0136,,
,,.0127,.30,1.15,925 / 930,3.50,5.00,-.0130,,
,,.0120,.25,1.10,930 / 935,3.60,5.10,-.0117,,
,,.0110,.20,1.00,935 / 940,3.65,5.15,-.0111,,
,,.0103,.15,.95,940 / 945,3.65,5.25,-.0104,,
,,.0099,.15,.90,945 / 950,3.65,5.30,-.0100,,
,,.0085,.10,.75,950 / 955,3.60,5.35,-.0099,,
,,.0084,.15,.70,955 / 960,3.65,5.55,-.0081,,
,,.0083,.15,.70,960 / 965,3.65,5.55,-.0081,,
,,.0069,.05,.60,965 / 970,3.65,5.60,-.0076,,
,,.0068,.05,.60,970 / 975,3.75,5.65,-.0065,,
,,.0056,-.05,.55,975 / 980,3.80,5.65,-.0060,,
,,.0062,0,.60,980 / 985,3.75,5.70,-.0059,,
,,.0050,-.05,.50,985 / 990,3.80,5.75,-.0051,,
,,.0050,0,.45,990 / 995,3.85,5.70,-.0050,,
,,.0041,0,.35,995 / 1000,3.90,5.70,-.0045,,
,,.0048,.05,.40,1000 / 1005,3.90,5.75,-.0041,,
,,.0033,-.10,.37,1005 / 1010,3.85,5.80,-.0040,,
,,.0037,-.10,.43,1010 / 1015,3.90,5.90,-.0027,,
,,.0034,-.11,.40,1015 / 1020,3.85,5.80,-.0039,,
,,.0028,-.10,.33,1020 / 1025,3.95,5.80,-.0030,,
,,.0026,-.07,.28,1025 / 1030,3.95,5.80,-.0029,,
,,.0030,-.04,.31,1030 / 1035,3.95,5.85,-.0025,,
,,.0015,-.10,.19,1035 / 1040,3.95,5.85,-.0024,,
,,.0029,-.05,.31,1040 / 1045,3.95,5.85,-.0024,,
,,.0020,-.14,.30,1045 / 1050,3.40,6.45,-.0019,,
,,.0020,-.13,.29,1050 / 1055,2.85,7.05,-.0015,,
,,.0017,-.16,.29,1055 / 1060,2.90,7.00,-.0014,,
,,.0017,-.15,.29,1060 / 1065,2.95,6.95,-.0014,,
,,.0017,-.15,.29,1065 / 1070,2.85,6.95,-.0022,,
,,.0015,-.16,.28,1070 / 1075,2.95,7.05,-.0005,,
,,.0012,-.17,.26,1075 / 1080,2.85,6.95,-.0022,,
,,.0015,-.15,.27,1080 / 1085,2.85,7.05,-.0013,,
,,.0012,-.16,.25,1085 / 1090,2.95,7.05,-.0004,,
,,.0012,-.16,.26,1090 / 1095,2.85,6.95,-.0021,,
,,.0017,-.07,.23,1095 / 1100,3.15,7.10,.0017,,
,,.0015,-.10,.19,1100 / 1110,7.90,11.75,-.0036,,
,,.0018,-.14,.28,1110 / 1120,7.85,11.95,-.0023,,
,,.0016,-.14,.26,1120 / 1130,7.85,12.05,-.0014,,
,,.0016,-.13,.26,1130 / 1140,7.90,11.45,-.0061,,
,,.0012,-.15,.23,1140 / 1150,8.40,12.00,.0030,,
,,.0014,-.13,.25,1150 / 1160,7.80,12.10,-.0013,,
,,.0012,-.15,.25,1160 / 1170,7.90,12.10,-.0004,,
,,.0011,-.16,.25,1170 / 1180,7.85,12.00,-.0016,,
,,.0008,-.17,.22,1180 / 1190,7.90,12.05,-.0008,,
,,.0017,-.02,.19,1190 / 1200,7.95,11.95,-.0011,,
