This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 6/8/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
605.13,+6.08,"22,543,682",591.825,610.00,582.88

11 JUN 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,-.15,2.15,199 / 200,-.03,.04,-.0001,,
,,.00,-.15,2.15,200 / 201,-.03,.03,.00,,
,,.00,-.15,2.15,201 / 202,-.04,.04,.00,,
,,.00,-.15,2.15,202 / 203,-.04,.04,.00,,
,,.00,-.15,2.15,203 / 204,-.04,.04,.00,,
,,.00,2.85,5.15,204 / 208,-.04,.04,.00,,
,,.00,.85,3.15,208 / 210,-.04,.04,.00,,
,,.00,.85,3.15,210 / 212,-.04,.04,.00,,
,,.00,2.85,5.15,212 / 216,-.05,.04,.0001,,
,,.00,2.85,5.15,216 / 220,-.02,.05,-.0002,,
,,.00,2.85,5.15,220 / 224,-.03,.02,.0001,,
,,.00,2.85,5.15,224 / 228,-.03,.03,.00,,
,,.00,.85,3.15,228 / 230,-.03,.03,.00,,
,,.00,.85,3.15,230 / 232,-.05,.03,.0001,,
,,.0004,2.85,5.10,232 / 236,-.02,.05,-.0002,,
,,.00,2.90,5.10,236 / 240,0,.03,-.0002,,
,,.00,2.90,5.10,240 / 244,-.03,0,.0002,,
,,.00,2.90,5.10,244 / 248,-.02,.04,-.0002,,
,,.00,.90,3.10,248 / 250,-.02,.04,-.0002,,
,,.00,.90,3.10,250 / 252,-.03,.03,.00,,
,,.00,2.90,5.10,252 / 256,-.04,.08,-.0003,,
,,.00,2.90,5.10,256 / 260,-.07,.06,.00,,
,,.00,8.90,11.10,260 / 270,-.04,.06,-.0002,,
,,.0005,8.85,11.10,270 / 280,-.03,.06,-.0003,,
,,.00,8.85,11.15,280 / 290,-.04,.07,-.0003,,
,,.0010,8.80,11.10,290 / 300,-.03,.07,-.0004,,
,,.00,2.85,5.15,300 / 304,-.02,.05,-.0003,,
,,.00,.85,3.15,304 / 306,-.03,.07,-.0003,,
,,.00,.85,3.15,306 / 308,-.06,.04,.0001,,
,,.00,.85,3.15,308 / 310,-.04,.04,.00,,
,,.00,.85,3.15,310 / 312,-.03,.05,-.0002,,
,,.0009,.80,3.10,312 / 314,-.04,.04,.00,,
,,.00,.85,3.15,314 / 316,-.03,.05,-.0002,,
,,.00,.85,3.15,316 / 318,-.03,.04,-.0001,,
,,.00,.85,3.15,318 / 320,-.03,.06,-.0003,,
,,.0004,.80,3.15,320 / 322,-.07,.06,.00,,
,,.0004,.80,3.15,322 / 324,-.05,.06,-.0001,,
,,.00,.85,3.15,324 / 326,-.03,.07,-.0004,,
,,.00,.85,3.15,326 / 328,-.06,.04,.0001,,
,,.00,.85,3.15,328 / 330,-.03,.05,-.0002,,
,,.0004,.80,3.15,330 / 332,-.03,.04,-.0001,,
,,.00,.80,3.20,332 / 334,-.01,.04,-.0003,,
,,.00,.80,3.20,334 / 336,-.03,.03,.00,,
,,.0005,.80,3.15,336 / 338,-.03,.04,-.0001,,
,,.0005,.80,3.15,338 / 340,-.02,.04,-.0002,,
,,.00,.80,3.20,340 / 342,-.03,.04,-.0001,,
,,.0001,.80,3.20,342 / 344,-.03,.05,-.0002,,
,,.00,-.20,2.20,344 / 345,-.03,.06,-.0003,,
,,.00,-.20,2.20,345 / 346,-.05,.04,.0001,,
,,.0001,.80,3.20,346 / 348,-.04,.04,-.0001,,
,,.0009,.75,3.15,348 / 350,0,.05,-.0005,,
,,.0001,.80,3.20,350 / 352,-.03,.02,.00,,
,,.0001,.80,3.20,352 / 354,-.03,.09,-.0006,,
,,.00,-.20,2.20,354 / 355,-.09,.06,.0002,,
,,.0004,-.25,2.20,355 / 356,-.05,.06,-.0001,,
,,.0005,.75,3.20,356 / 358,-.03,.05,-.0002,,
,,.0001,.80,3.20,358 / 360,-.03,.06,-.0003,,
,,.0001,.80,3.20,360 / 362,-.04,.05,-.0002,,
,,.0005,.75,3.20,362 / 364,-.05,.07,-.0002,,
,,.00,-.25,2.25,364 / 365,-.06,.08,-.0002,,
,,.00,-.25,2.25,365 / 366,-.05,.09,-.0004,,
,,.0005,.75,3.20,366 / 368,-.07,.07,-.0001,,
,,.0001,.80,3.20,368 / 370,-.04,.05,-.0002,,
,,.0005,.75,3.20,370 / 372,-.03,.08,-.0005,,
,,.0001,.75,3.25,372 / 374,-.07,.05,.0001,,
,,.00,-.25,2.25,374 / 375,-.03,.05,-.0002,,
,,.00,-.25,2.25,375 / 376,-.04,.06,-.0002,,
,,.0010,2.70,5.20,376 / 380,-.03,.07,-.0005,,
,,.0002,2.75,5.25,380 / 384,-.02,.06,-.0005,,
,,.0009,-.30,2.20,384 / 385,-.03,.07,-.0004,,
,,.0002,1.75,4.25,385 / 388,-.04,.06,-.0003,,
,,.0001,.75,3.25,388 / 390,-.02,.05,-.0004,,
,,.0005,.70,3.25,390 / 392,-.03,.05,-.0003,,
,,.0006,1.70,4.25,392 / 395,-.02,.07,-.0006,,
,,.0001,-.25,2.25,395 / 396,-.04,.07,-.0003,,
,,.0007,2.70,5.25,396 / 400,-.04,.06,-.0004,,
,,.0008,3.70,6.25,400 / 405,-.01,.09,-.0010,,
,,.0008,3.70,6.25,405 / 410,-.02,.11,-.0012,,
,,.0021,3.65,6.15,410 / 415,-.01,.12,-.0014,,
,,.0005,3.75,6.25,415 / 420,-.03,.07,-.0008,,
,,.0018,3.70,6.15,420 / 425,.02,.10,-.0015,,
,,.0001,3.80,6.25,425 / 430,-.02,.10,-.0012,,
,,.0015,3.65,6.25,430 / 435,-.01,.12,-.0016,,
,,.0015,3.65,6.25,435 / 440,0,.15,-.0020,,
,,.0034,3.65,6.05,440 / 445,-.03,.10,-.0013,,
,,.0017,3.85,6.05,445 / 450,.01,.13,-.0020,,
,,.0009,3.80,6.20,450 / 455,-.03,.13,-.0018,,
,,.0032,3.65,6.10,455 / 460,0,.15,-.0023,,
,,.0029,3.75,6.05,460 / 465,0,.16,-.0025,,
,,.0016,3.75,6.20,465 / 470,-.01,.19,-.0028,,
,,.0040,3.60,6.10,470 / 475,-.01,.16,-.0026,,
,,.0032,3.80,6.00,475 / 480,.04,.21,-.0037,,
,,.0038,4.00,5.75,480 / 485,.01,.19,-.0034,,
,,.0031,4.15,5.70,485 / 490,.06,.23,-.0044,,
,,.0060,4.00,5.55,490 / 495,.04,.20,-.0041,,
,,.0044,4.10,5.65,495 / 500,.10,.26,-.0054,,
,,.0056,4.00,5.65,500 / 505,.08,.30,-.0059,,
