This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 4/6/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
691.05,+29.30,"41,842,767",707.71,708.16,684.70

9 APR 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,-.21,.19,1040 / 1050,4.80,15.15,-.0007,,
,,.0011,-.16,.25,1050 / 1060,4.80,15.15,-.0007,,
,,.0016,-.21,.34,1060 / 1075,5.60,20.10,-.0121,,
,,-.0006,-.31,.25,1075 / 1080,-.15,14.40,.0113,,
,,.0015,-.23,.35,1080 / 1100,14.80,25.15,-.0008,,
,,.0010,-.22,.30,1100 / 1120,14.80,25.10,-.0012,,
,,.0006,-.21,.26,1120 / 1125,-2.65,10.40,-.0093,,
,,.0003,-.21,.23,1125 / 1140,9.60,22.65,.0090,,
,,-.0009,-.21,.12,1140 / 1150,4.80,15.15,-.0006,,
,,.0016,-.10,.24,1150 / 1160,4.80,15.15,-.0006,,
,,-.0010,-.34,.24,1160 / 1175,7.45,20.55,-.0079,,
,,-.0004,-.30,.26,1175 / 1180,-.55,12.55,.0077,,
,,.0010,-.08,.17,1180 / 1200,14.85,25.15,-.0002,,
,,-.0008,-.17,.08,1200 / 1225,19.80,30.15,-.0006,,
,,.0014,-.07,.20,1225 / 1250,19.80,30.15,-.0006,,
,,.0002,-.04,.05,1250 / 1275,19.85,30.15,-.0002,,
,,.0013,-.03,.15,1275 / 1300,19.85,30.15,-.0001,,
,,-.0006,-.13,.07,1300 / 1325,19.80,30.15,-.0005,,
,,.00,-.10,.09,1325 / 1350,19.80,30.20,-.0001,,
,,.0005,-.08,.13,1350 / 1375,19.80,30.15,-.0005,,
,,.0003,-.03,.06,1375 / 1400,19.85,30.15,-.0001,,
,,.0001,-.01,.02,1400 / 1425,19.85,30.15,-.0001,,
,,-.0001,-.05,.04,1425 / 1450,19.85,30.15,-.0001,,
,,.0008,-.03,.11,1450 / 1475,19.85,30.15,-.0001,,
,,-.0003,-.05,.02,1475 / 1500,19.85,30.15,-.0001,,
,,-.0001,-.02,.01,1500 / 1525,19.85,30.15,-.0001,,
,,.0001,-.01,.02,1525 / 1550,19.85,30.15,-.0001,,
,,.0001,-.01,.02,1550 / 1575,19.85,30.15,-.0001,,
,,.0001,-.01,.02,1575 / 1600,19.85,30.15,-.0001,,
,,.00,-.01,.01,1600 / 1625,19.85,30.15,-.0001,,
,,.0002,0,.02,1625 / 1650,19.85,30.15,-.0001,,
,,.0001,-.01,.02,1650 / 1675,19.85,30.15,-.0001,,
,,.00,-.02,.02,1675 / 1700,19.85,30.15,-.0001,,

23 APR 21  (18)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,44.85,55.15,100 / 150,.01,.03,-.0002,,
,,.00,44.80,55.15,150 / 200,.01,.03,-.0003,,
,,.00,44.75,55.10,200 / 250,.05,.15,-.0012,,
,,.00,44.70,55.00,250 / 300,-.02,.23,-.0015,,
,,.1134,44.65,55.00,300 / 350,.04,.34,-.0029,,
